Month,Trade Date,Close
Dez 2023,27.12.2023,40.918
Jan 2024,27.12.2023,36.14
Feb 2024,27.12.2023,36.662
Mar 2024,27.12.2023,36.57
Apr 2024,27.12.2023,36.361
Mai 2024,27.12.2023,36.006
Jun 2024,27.12.2023,35.903
Jul 2024,27.12.2023,35.836
Aug 2024,27.12.2023,35.849
Sep 2024,27.12.2023,36.483
Okt 2024,27.12.2023,38.135
Nov 2024,27.12.2023,40.61
Dez 2024,27.12.2023,41.99
Dez 2023,28.12.2023,40.918
Jan 2024,28.12.2023,33.775
Feb 2024,28.12.2023,34.209
Mar 2024,28.12.2023,34.262
Apr 2024,28.12.2023,34.14
Mai 2024,28.12.2023,34.003
Jun 2024,28.12.2023,33.827
Jul 2024,28.12.2023,33.968
Aug 2024,28.12.2023,34.009
Sep 2024,28.12.2023,34.51
Okt 2024,28.12.2023,36.805
Nov 2024,28.12.2023,39.043
Dez 2024,28.12.2023,40.129
Jan 2024,29.12.2023,33.775
Feb 2024,29.12.2023,32.606
Mar 2024,29.12.2023,32.756
Apr 2024,29.12.2023,32.795
Mai 2024,29.12.2023,32.245
Jun 2024,29.12.2023,32.14
Jul 2024,29.12.2023,32.356
Aug 2024,29.12.2023,32.396
Sep 2024,29.12.2023,33.1
Okt 2024,29.12.2023,35.176
Nov 2024,29.12.2023,37.071
Dez 2024,29.12.2023,38.428
Jan 2025,29.12.2023,
Jan 2024,02.01.2024,33.775
Feb 2024,02.01.2024,31.197
Mar 2024,02.01.2024,31.258
Apr 2024,02.01.2024,31.161
Mai 2024,02.01.2024,31.078
Jun 2024,02.01.2024,30.894
Jul 2024,02.01.2024,30.976
Aug 2024,02.01.2024,31.074
Sep 2024,02.01.2024,31.929
Okt 2024,02.01.2024,32.997
Nov 2024,02.01.2024,35.55
Dez 2024,02.01.2024,38.403
Jan 2025,02.01.2024,
Jan 2024,03.01.2024,33.775
Feb 2024,03.01.2024,33.313
Mar 2024,03.01.2024,33.243
Apr 2024,03.01.2024,32.981
Mai 2024,03.01.2024,32.684
Jun 2024,03.01.2024,32.602
Jul 2024,03.01.2024,32.653
Aug 2024,03.01.2024,32.908
Sep 2024,03.01.2024,33.825
Okt 2024,03.01.2024,34.808
Nov 2024,03.01.2024,37.059
Dez 2024,03.01.2024,38.5
Jan 2025,03.01.2024,
Jan 2024,04.01.2024,33.775
Feb 2024,04.01.2024,34.08
Mar 2024,04.01.2024,34.107
Apr 2024,04.01.2024,33.968
Mai 2024,04.01.2024,33.862
Jun 2024,04.01.2024,33.699
Jul 2024,04.01.2024,33.43
Aug 2024,04.01.2024,33.579
Sep 2024,04.01.2024,34.369
Okt 2024,04.01.2024,35.818
Nov 2024,04.01.2024,38.172
Dez 2024,04.01.2024,39.243
Jan 2025,04.01.2024,
Jan 2024,05.01.2024,33.775
Feb 2024,05.01.2024,35.161
Mar 2024,05.01.2024,35.178
Apr 2024,05.01.2024,34.893
Mai 2024,05.01.2024,34.627
Jun 2024,05.01.2024,34.568
Jul 2024,05.01.2024,34.632
Aug 2024,05.01.2024,34.701
Sep 2024,05.01.2024,35.297
Okt 2024,05.01.2024,36.946
Nov 2024,05.01.2024,39.174
Dez 2024,05.01.2024,39.711
Jan 2025,05.01.2024,
Jan 2024,08.01.2024,33.775
Feb 2024,08.01.2024,32.067
Mar 2024,08.01.2024,32.201
Apr 2024,08.01.2024,32.179
Mai 2024,08.01.2024,32.023
Jun 2024,08.01.2024,31.955
Jul 2024,08.01.2024,31.963
Aug 2024,08.01.2024,32.083
Sep 2024,08.01.2024,32.736
Okt 2024,08.01.2024,34.274
Nov 2024,08.01.2024,38.074
Dez 2024,08.01.2024,35.842
Jan 2025,08.01.2024,
Jan 2024,09.01.2024,33.775
Feb 2024,09.01.2024,31.194
Mar 2024,09.01.2024,31.34
Apr 2024,09.01.2024,31.212
Mai 2024,09.01.2024,31.127
Jun 2024,09.01.2024,30.908
Jul 2024,09.01.2024,30.972
Aug 2024,09.01.2024,31.071
Sep 2024,09.01.2024,31.86
Okt 2024,09.01.2024,32.587
Nov 2024,09.01.2024,36.287
Dez 2024,09.01.2024,37.287
Jan 2025,09.01.2024,
Jan 2024,10.01.2024,33.775
Feb 2024,10.01.2024,31.461
Mar 2024,10.01.2024,31.539
Apr 2024,10.01.2024,31.409
Mai 2024,10.01.2024,31.303
Jun 2024,10.01.2024,31.141
Jul 2024,10.01.2024,31.091
Aug 2024,10.01.2024,31.408
Sep 2024,10.01.2024,31.978
Okt 2024,10.01.2024,33.699
Nov 2024,10.01.2024,36.007
Dez 2024,10.01.2024,36.741
Jan 2025,10.01.2024,
Jan 2024,11.01.2024,33.775
Feb 2024,11.01.2024,31.353
Mar 2024,11.01.2024,31.429
Apr 2024,11.01.2024,31.375
Mai 2024,11.01.2024,31.313
Jun 2024,11.01.2024,31.215
Jul 2024,11.01.2024,31.118
Aug 2024,11.01.2024,31.523
Sep 2024,11.01.2024,32.022
Okt 2024,11.01.2024,33.482
Nov 2024,11.01.2024,35.823
Dez 2024,11.01.2024,36.579
Jan 2025,11.01.2024,
Jan 2024,12.01.2024,33.775
Feb 2024,12.01.2024,32.591
Mar 2024,12.01.2024,32.599
Apr 2024,12.01.2024,32.582
Mai 2024,12.01.2024,32.44
Jun 2024,12.01.2024,32.368
Jul 2024,12.01.2024,32.24
Aug 2024,12.01.2024,32.443
Sep 2024,12.01.2024,33.005
Okt 2024,12.01.2024,34.925
Nov 2024,12.01.2024,36.286
Dez 2024,12.01.2024,38.004
Jan 2025,12.01.2024,
Jan 2024,15.01.2024,33.775
Feb 2024,15.01.2024,30.486
Mar 2024,15.01.2024,30.52
Apr 2024,15.01.2024,30.505
Mai 2024,15.01.2024,30.475
Jun 2024,15.01.2024,30.379
Jul 2024,15.01.2024,30.353
Aug 2024,15.01.2024,30.662
Sep 2024,15.01.2024,31.285
Okt 2024,15.01.2024,32.518
Nov 2024,15.01.2024,34.518
Dez 2024,15.01.2024,36.301
Jan 2025,15.01.2024,36.5
Jan 2024,16.01.2024,33.775
Feb 2024,16.01.2024,30.207
Mar 2024,16.01.2024,30.279
Apr 2024,16.01.2024,30.357
Mai 2024,16.01.2024,30.236
Jun 2024,16.01.2024,30.12
Jul 2024,16.01.2024,30.194
Aug 2024,16.01.2024,30.356
Sep 2024,16.01.2024,31.078
Okt 2024,16.01.2024,32.013
Nov 2024,16.01.2024,34.301
Dez 2024,16.01.2024,36.556
Jan 2025,16.01.2024,36.372
Jan 2024,17.01.2024,33.775
Feb 2024,17.01.2024,28.219
Mar 2024,17.01.2024,28.255
Apr 2024,17.01.2024,28.283
Mai 2024,17.01.2024,28.268
Jun 2024,17.01.2024,28.28
Jul 2024,17.01.2024,28.572
Aug 2024,17.01.2024,28.538
Sep 2024,17.01.2024,29.235
Okt 2024,17.01.2024,30.495
Nov 2024,17.01.2024,33.554
Dez 2024,17.01.2024,34.266
Jan 2025,17.01.2024,34.841
Jan 2024,18.01.2024,33.775
Feb 2024,18.01.2024,28.509
Mar 2024,18.01.2024,28.551
Apr 2024,18.01.2024,28.668
Mai 2024,18.01.2024,28.675
Jun 2024,18.01.2024,28.759
Jul 2024,18.01.2024,28.866
Aug 2024,18.01.2024,28.965
Sep 2024,18.01.2024,29.641
Okt 2024,18.01.2024,30.418
Nov 2024,18.01.2024,33.622
Dez 2024,18.01.2024,34.352
Jan 2025,18.01.2024,35.754
Jan 2024,19.01.2024,33.775
Feb 2024,19.01.2024,29.03
Mar 2024,19.01.2024,29.124
Apr 2024,19.01.2024,29.213
Mai 2024,19.01.2024,29.293
Jun 2024,19.01.2024,29.438
Jul 2024,19.01.2024,29.41
Aug 2024,19.01.2024,29.524
Sep 2024,19.01.2024,30.242
Okt 2024,19.01.2024,31.134
Nov 2024,19.01.2024,34.874
Dez 2024,19.01.2024,35.601
Jan 2025,19.01.2024,36.362
Jan 2024,22.01.2024,33.775
Feb 2024,22.01.2024,27.821
Mar 2024,22.01.2024,27.939
Apr 2024,22.01.2024,28.291
Mai 2024,22.01.2024,28.504
Jun 2024,22.01.2024,28.493
Jul 2024,22.01.2024,28.601
Aug 2024,22.01.2024,28.525
Sep 2024,22.01.2024,29.572
Okt 2024,22.01.2024,30.142
Nov 2024,22.01.2024,33.596
Dez 2024,22.01.2024,35.29
Jan 2025,22.01.2024,35.5
Jan 2024,23.01.2024,33.775
Feb 2024,23.01.2024,27.824
Mar 2024,23.01.2024,27.853
Apr 2024,23.01.2024,28.499
Mai 2024,23.01.2024,28.697
Jun 2024,23.01.2024,28.837
Jul 2024,23.01.2024,28.924
Aug 2024,23.01.2024,29.035
Sep 2024,23.01.2024,29.801
Okt 2024,23.01.2024,30.338
Nov 2024,23.01.2024,33.94
Dez 2024,23.01.2024,35.659
Jan 2025,23.01.2024,35.264
Jan 2024,24.01.2024,33.775
Feb 2024,24.01.2024,29.493
Mar 2024,24.01.2024,29.464
Apr 2024,24.01.2024,29.939
Mai 2024,24.01.2024,30.09
Jun 2024,24.01.2024,30.19
Jul 2024,24.01.2024,30.278
Aug 2024,24.01.2024,30.34
Sep 2024,24.01.2024,31.025
Okt 2024,24.01.2024,30.716
Nov 2024,24.01.2024,34.345
Dez 2024,24.01.2024,38.558
Jan 2025,24.01.2024,36.384
Jan 2024,25.01.2024,33.775
Feb 2024,25.01.2024,28.382
Mar 2024,25.01.2024,28.44
Apr 2024,25.01.2024,28.816
Mai 2024,25.01.2024,29.051
Jun 2024,25.01.2024,29.131
Jul 2024,25.01.2024,29.236
Aug 2024,25.01.2024,29.397
Sep 2024,25.01.2024,29.961
Okt 2024,25.01.2024,31.09
Nov 2024,25.01.2024,34.953
Dez 2024,25.01.2024,34.581
Jan 2025,25.01.2024,36.021
Jan 2024,26.01.2024,33.775
Feb 2024,26.01.2024,28.68
Mar 2024,26.01.2024,28.895
Apr 2024,26.01.2024,29.224
Mai 2024,26.01.2024,29.36
Jun 2024,26.01.2024,29.309
Jul 2024,26.01.2024,29.405
Aug 2024,26.01.2024,29.622
Sep 2024,26.01.2024,30.213
Okt 2024,26.01.2024,30.869
Nov 2024,26.01.2024,34.55
Dez 2024,26.01.2024,35.599
Jan 2025,26.01.2024,35.61
Jan 2024,29.01.2024,33.775
Feb 2024,29.01.2024,28.792
Mar 2024,29.01.2024,28.862
Apr 2024,29.01.2024,29.191
Mai 2024,29.01.2024,29.415
Jun 2024,29.01.2024,29.511
Jul 2024,29.01.2024,29.456
