Date	Value
01.01.2022	86,8
02.01.2022	86,8
04.01.2022	87,8
05.01.2022	88
06.01.2022	89
07.01.2022	89
08.01.2022	90,1
09.01.2022	90
11.01.2022	90,1
12.01.2022	89,9
13.01.2022	91
14.01.2022	90,9
15.01.2022	91,2
16.01.2022	91,5
18.01.2022	92,2
19.01.2022	93
20.01.2022	93,3
21.01.2022	93,2
22.01.2022	92,3
23.01.2022	92,3
25.01.2022	93,3
26.01.2022	92,7
27.01.2022	93
28.01.2022	93,8
29.01.2022	95,3
30.01.2022	95,3
01.02.2022	95,7
02.02.2022	95,2
03.02.2022	95,5
04.02.2022	95,1
05.02.2022	96,4
06.02.2022	97,4
08.02.2022	97,9
09.02.2022	97,2
10.02.2022	95,7
11.02.2022	96,3
12.02.2022	95,5
13.02.2022	96,1
15.02.2022	98
16.02.2022	98,8
17.02.2022	97,8
18.02.2022	97,1
19.02.2022	96,5
20.02.2022	96,5
22.02.2022	96
23.02.2022	99
24.02.2022	98
25.02.2022	104,2
26.02.2022	105,9
27.02.2022	104,9
01.03.2022	108,8
02.03.2022	110,2
03.03.2022	122,1
04.03.2022	134
05.03.2022	140,1
06.03.2022	146
08.03.2022	163
09.03.2022	170,3
10.03.2022	204,5
11.03.2022	196,5
12.03.2022	187,9
13.03.2022	184,1
15.03.2022	185
16.03.2022	174,5
17.03.2022	168,1
18.03.2022	163
19.03.2022	166,2
20.03.2022	164,9
22.03.2022	167,4
23.03.2022	170,4
24.03.2022	164,9
25.03.2022	166,7
26.03.2022	163,9
27.03.2022	159,9
29.03.2022	156,6
30.03.2022	148
31.03.2022	144,1
01.04.2022	139
02.04.2022	136,2
03.04.2022	136,2
05.04.2022	138,4
06.04.2022	138,8
07.04.2022	135,9
08.04.2022	132,2
09.04.2022	127,1
10.04.2022	126,9
12.04.2022	126,1
13.04.2022	127
14.04.2022	128
15.04.2022	131,3
16.04.2022	131,3
17.04.2022	133,3
19.04.2022	133,3
20.04.2022	135
21.04.2022	133,9
22.04.2022	133,8
23.04.2022	133
24.04.2022	130,8
26.04.2022	129,8
27.04.2022	129,9
28.04.2022	133,7
29.04.2022	135,2
30.04.2022	137,2
01.05.2022	138,6
03.05.2022	138,1
04.05.2022	141,8
05.05.2022	140
06.05.2022	141
07.05.2022	139,3
08.05.2022	138,5
10.05.2022	137,9
11.05.2022	132,7
12.05.2022	134,7
13.05.2022	132,6
14.05.2022	133,3
15.05.2022	133,8
17.05.2022	133,5
18.05.2022	133,7
19.05.2022	132
20.05.2022	130,1
21.05.2022	129,9
22.05.2022	129,1
24.05.2022	128,9
25.05.2022	128
26.05.2022	130,2
27.05.2022	130,2
28.05.2022	133,6
31.05.2022	134,1
01.06.2022	142
02.06.2022	140,2
03.06.2022	142,3
04.06.2022	144,8
05.06.2022	146,9
07.06.2022	146,9
08.06.2022	149
09.06.2022	149,4
10.06.2022	149,1
11.06.2022	150,3
12.06.2022	150,3
14.06.2022	148,8
15.06.2022	150
16.06.2022	151,1
17.06.2022	152,2
18.06.2022	153,6
19.06.2022	154,1
21.06.2022	151,8
22.06.2022	152,9
23.06.2022	150,2
24.06.2022	150,2
25.06.2022	150,1
26.06.2022	150,3
28.06.2022	150,1
29.06.2022	149
30.06.2022	147,8
01.07.2022	146,7
02.07.2022	143,7
03.07.2022	144
05.07.2022	146,4
06.07.2022	146,5
07.07.2022	142,5
08.07.2022	141,2
09.07.2022	145,1
10.07.2022	147,1
12.07.2022	147,4
13.07.2022	150,5
14.07.2022	148,9
15.07.2022	150,8
16.07.2022	151,1
17.07.2022	152,1
19.07.2022	152
20.07.2022	151,9
21.07.2022	151,6
22.07.2022	151,1
23.07.2022	150,9
24.07.2022	150,9
26.07.2022	149,8
27.07.2022	152
28.07.2022	152,7
29.07.2022	154,3
30.07.2022	153,7
31.07.2022	154
02.08.2022	153,5
03.08.2022	151
04.08.2022	150,9
05.08.2022	151,2
06.08.2022	152,1
07.08.2022	152,1
09.08.2022	149,6
10.08.2022	149,7
11.08.2022	150,3
12.08.2022	152,9
13.08.2022	155,8
14.08.2022	155,8
16.08.2022	156,7
17.08.2022	156,3
18.08.2022	156,9
19.08.2022	157,6
20.08.2022	159,7
21.08.2022	160
23.08.2022	161
24.08.2022	163,9
25.08.2022	166,6
26.08.2022	170
27.08.2022	171,7
28.08.2022	171,7
30.08.2022	173,1
31.08.2022	172,3
01.09.2022	170,9
02.09.2022	168,4
03.09.2022	166,9
04.09.2022	167,3
06.09.2022	169,4
07.09.2022	170,2
08.09.2022	167,6
09.09.2022	167,6
10.09.2022	165,7
11.09.2022	164,7
13.09.2022	164,1
14.09.2022	163,8
15.09.2022	161,3
16.09.2022	158
17.09.2022	155,6
18.09.2022	154,7
20.09.2022	154,5
21.09.2022	156,3
22.09.2022	157,3
23.09.2022	157,4
24.09.2022	157,8
25.09.2022	157,6
27.09.2022	155,8
28.09.2022	153,9
29.09.2022	154,9
30.09.2022	157,1
01.10.2022	156,6
02.10.2022	156,5
04.10.2022	156,5
05.10.2022	159
06.10.2022	162,1
07.10.2022	165,8
08.10.2022	168,9
09.10.2022	172
11.10.2022	172
12.10.2022	171,8
13.10.2022	169,9
14.10.2022	168,4
15.10.2022	169,5
16.10.2022	168,9
18.10.2022	168,2
19.10.2022	168,2
20.10.2022	167,1
21.10.2022	165,9
22.10.2022	160,9
23.10.2022	158,4
25.10.2022	157,8
26.10.2022	157,8
27.10.2022	155,7
28.10.2022	156,1
29.10.2022	156,7
30.10.2022	156,4
01.11.2022	156,4
02.11.2022	155,9
03.11.2022	152,6
04.11.2022	149,5
05.11.2022	149,9
06.11.2022	150,4
08.11.2022	148,9
09.11.2022	146,5
10.11.2022	143,5
11.11.2022	139,8
12.11.2022	137,7
13.11.2022	135,8
15.11.2022	135,9
16.11.2022	134,6
17.11.2022	133,5
18.11.2022	133,4
19.11.2022	131,9
20.11.2022	131,2
22.11.2022	131
23.11.2022	130,8
24.11.2022	129,8
25.11.2022	127,3
26.11.2022	125,9
27.11.2022	125,1
29.11.2022	123,9
30.11.2022	123,3
01.12.2022	124
02.12.2022	125,7
03.12.2022	125
04.12.2022	124,5
06.12.2022	123,7
07.12.2022	122,2
08.12.2022	119,8
09.12.2022	117,5
10.12.2022	117,6
11.12.2022	117,8
13.12.2022	118,1
14.12.2022	119,9
15.12.2022	123
16.12.2022	126
17.12.2022	129,1
18.12.2022	128,1
20.12.2022	126,9
21.12.2022	126,3
22.12.2022	125,5
23.12.2022	126,2
24.12.2022	125,4
25.12.2022	125,8
28.12.2022	127,1
29.12.2022	127,5
30.12.2022	127,2
31.12.2022	127,3
